Personnage,STP
John Carter,Guerrier
James K. Powell,Technique
Indiens,indef
La chose,indef
Groupe de martien vert,Guerrier
Tars Tarkas,Politique
Lorquas Ptomel Jed,Politique
Sola,Technique
Woola ,indef
Martien singe blanc,indef
Martienne singe blanc,indef
Groupe guerriers martiens verts,Guerrier
Conseil des 25 chefs,Politique
Enfant Martien,indef
Armée mariens verts,Guerrier
Armée aérienne,Guerrier
Dejah Thoris,Politique
Sarkoja,Politique
Tal Hajus,Politique
Garde martien (de Dejah),Guerrier
Mors Kajak,Politique
Jeun guerrier martien,Guerrier
Autres chefs,Politique
Hommes imberbes,Religieux
Messager,indef
Chef tué,Politique
Mère de Dejah,indef
Zad,Guerrier
Mère de Sola,indef
Tardos Mors,Politique
Dak Kova,Politique
Bar Comas,Politique
La chose dans l'obscurité,indef
geolier,Guerrier
gardes,Guerrier
Kantos Kan,Technique
Wharoonien,Guerrier
Jed Wharooniens,Politique
Femme Martiennes,Guerrier
Guerrier martiens vert,Guerrier
Gardiens de l'Usine,Science
Agriculteur,Technique
Martiens Verts,indef
3 Frères de Ptor,Politique
Noble de Barsoom,Politique
Guerrier martiens vert 2,Guerrier
Guerrier Vert,Guerrier
Than Kosis,indef
3 Guerrier Martiens Verts,Guerrier
Cousin Jeddak de Zodanga,Politique
Officier supérieur,Guerrier
Majordome,indef
4 Gardes,Guerrier
Courtisans,Politique
Notan,Science
sentinelle,Guerrier
Gozava,indef
Conseiller Tars Tarkas,Politique
Esquade de John Carter,Guerrier
Femme de Than Kosis,Technique
8 officiers de la garde,Guerrier
Escouade 2 (50 hommes),Guerrier
détachement de 12 hommes,Guerrier
Flotte Zodanga,Guerrier
Flotte Helium,Guerrier
Homme réparant l'usine,Technique
