John Carter,Terrien
James K. Powell,Terrien
Indiens,Terrien
La chose,Faune
Groupe de martien vert,Martien Vert
Tars Tarkas,Martien Vert
Lorquas Ptomel Jed,Martien Vert
Sola,Martien Vert
Woola ,Faune
Martien singe blanc,Martien Singe Blanc
Martienne singe blanc,Martien Singe Blanc
Groupe guerriers martiens verts,Martien Vert
Conseil des 25 chefs,Martien Vert
Enfant Martien,Martien Vert
Armée mariens verts,Martien Vert
Armée aérienne,Martien Rouge
Dejah Thoris,Martien Rouge
Sarkoja,Martien Vert
Tal Hajus,Martien Vert
Garde martien (de Dejah),Martien Vert
Mors Kajak,Martien Rouge
Jeun guerrier martien,Martien Vert
Autres chefs,Martien Vert
Hommes imberbes,Martien Blanc
Messager,Martien Vert
Chef tué,Martien Vert
Mère de Dejah,Martien Rouge
Zad,Martien Vert
Mère de Sola,Martien Vert
Tardos Mors,Martien Rouge
Dak Kova,Martien Vert
Bar Comas,Martien Vert
La chose dans l'obscurité,Faune
geolier,Martien Vert
gardes,Martien Vert
Kantos Kan,Martien Rouge
Wharoonien,Martien Vert
Jed Wharooniens,Martien Vert
Femme Martiennes,Martien Vert
Guerrier martiens vert,Martien Vert
Gardiens de l'Usine,Martien Rouge
Agriculteur,Martien Rouge
Martiens Verts,Martien Vert
3 Frères de Ptor,Martien Rouge
Noble de Barsoom,Martien Rouge
Guerrier martiens vert 2,Martien Vert
Guerrier Vert,Martien Vert
Than Kosis,Martien Rouge
3 Guerrier Martiens Verts,Martien Vert
Cousin Jeddak de Zodanga,Martien Rouge
Officier supérieur,Martien Rouge
Majordome,Martien Rouge
4 Gardes,Martien Rouge
Courtisans,Martien Rouge
Notan,Martien Rouge
sentinelle,Martien Rouge
Gozava,Martien Vert
Conseiller Tars Tarkas,Martien Vert
Esquade de John Carter,Martien Rouge
Femme de Than Kosis,Martien Vert
8 officiers de la garde,Martien Rouge
Escouade 2 (50 hommes),Martien Rouge
détachement de 12 hommes,Martien Rouge
Flotte Zodanga,Martien Rouge
Flotte Helium,Martien Rouge
Homme réparant l'usine,Martien Rouge
