Personnages,Science/Technique/Politique
Winston Smith,Technique
Parti,Politique
Big Brother,Politique/Technique
Patrouille,Technique
Police de la pensée,Technique
Miniver,Science/Technique/Politique
Minipax,Science/Technique/Politique
Miniamour,Science/Technique/Politique
Miniplein,Science/Technique/Politique
Télécran,Technique
Julia,Technique
O'Brien,Technique
Emmanuel Goldstein,Politique/Technique
Mme Parsons,Technique
Tom (mari Parsons),Technique
Enfants Parsons,Politique
Lointain comité,Politique
Ligue de la Jeunesse,Politique
Espions,Technique
(espions) Eurasien,Technique
armée Eurasienne,Technique
Femme 1 commissariat aux Romans,Technique
Femme 2 commissariat aux Romans,Technique
Mère de Winston,Autre
Père de Winston,Autre
Soeur de Winston,Autre
Shakespeare,Autre
Employés de bureau,Technique
Deux vieillards,Autre
Estasia,Politique
Eurasia,Politique
Marins des forteresses volantes,Technique
Oceania,Politique
Tillotson,Technique
Ampleforth,Technique
Cerveau coordinateur,Politique
PornoSex,Technique
C.C.F.F,Politique
Wither,Politique
Ogilvy,Science
Ligue Anti-sexe,Politique
Charlemagne,Autre
Jules César,Autre
Syme,Science
Homme à la voix forte,Autre
Vieille prostituée ,Autre
Catherine,Autre
Prolétaire,Technique
capitaliste,Politique
Jones,Politique
Aaronson,Politique
Rutherford,Politique
Deux femmes monstrueuses,Autre
Hommes habit noir accordéon,Autre
Homme au bar 1,Autre
Homme au bar 2,Autre
Homme au bar 3,Autre
Vieillard bistrot,Autre
Barmen,Technique
groupe de consommateurs,Autre
Charrington,Technique
Commissariat aux romans,Technique
Comité du Plan,Politique
Fraternité,Politique
Mouvement de la Jeunesse,Politique
Femme chantant,Technique
Commissariat de la Musique,Technique
Grand-père Julia,Autre
Commissariat aux Archives,Technique
Comité des Échecs,Politique
Domestique O'Brien,Technique
Trois autres filles,Technique
Wilsher,Technique
Un petit homme,Autre
Olivier Cromwell,Autre
Prisonniers politiques,Politique
Un prolétaire énorme,Autre
Une femme énorme,Autre
Un homme  au visage recouvert,Politique
Prisonniers ordinaires,Technique
Prisonniers du Parti,Politique
Gardes,Technique
Une femme énorme de 60 ans,Technique
Femme membre du Parti 1,Technique
Femme membre du Parti 2,Technique
Le jeune officier de la Prison,Technique
Dieu,Politique
Kipling,Autre
Une femme Salle 101,Politique
Bumstaed,Politique
Un homme squelettique,Politique
Hommes à la blouse blanche,Technique
Coiffeur hargneux,Technique
Questionneurs du Parti,Technique
L'Esprit de l'Homme,Politique
Les rats,Technique
Les garçons du café,Technique
