,Type
Mrs. K : Ylla,Technique
Mr. K : Yll,Technique
Nathaniel York,Technique
Bert,Indéfini
Huile,Indéfini
Uel : ami,Indéfini
Pao : amie de Ylla,Indéfini
Docteur Nlle,Science
Mrs. Ttt,Technique
Capitaine Williams,Technique
Compagnons,Technique
Mr Ttt,Politique
Mr Aaa,Politique
Mr Iii,Politique
Petite fille,Enfant
Mr Xxx Psychiatre,Science
Mr Uuu,Fou
Miss Rrr,Fou
Mr Www,Fou
Mr Qqq,Fou
Mr Vvv,Fou
Saturnien,Fou
Mr Zzz,Fou
Mr Nnn,Fou
Mr Hhh,Fou
Mr Bbb,Fou
Homme Flamme Bleue,Fou
Femme ,Fou
"Black, capitaine",Politique
Equipage,Technique
Foule du lancement,Indefini
Mort du voyage,Technique
"Lustig, navigateur",Technique
"Hinkston, archéologue",Science
Le chimiste,Science
Compositeur martien,Art
Dieu,Religion
"Wilder, capitaine",Politique
"Al Jolson, chanteur",Art
"Maxfield Parrish, peintre",Art
Une martienne,Art
Einstein,Science
Les pélerins,Religion
Grand-mère Lustig,Indefini
Grand-père Lustig,Indefini
Jeunes filles,Indefini
Petits garçons,Indefini
Gros messieurs,Indefini
Maire,Politique
Edward,Indefini
Mère de Black,Indefini
Père de Black,Indefini
Marylin,Indefini
Les martiens,Indefini
