,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87
"Black, capitaine",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Equipage,1,1,,,,,,,,,,,,1,1,,,1,,,,,
Foule du lancement,1,,,,,,,,,,,,,,,,,,,,,,
Mort du voyage,1,,,,,,,,,,,,,,,,,,,,,,
"Lustig, navigateur",1,,,1,1,1,,,1,1,1,1,1,1,1,1,,,,1,1,,
"Hinkston, archéologue",,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,1,1,,
Le chimiste,,1,1,,,,,,,,,,,,,,,,,,,,
Compositeur martien,,,1,,,,,,,,,,,,,,,,,,,,
"Williams, capitaine",,,1,1,,,,,,,,,,,,,,,,,,,
York,,,1,1,,,,,,,,,,,,,,,,,,,
Le compagnon de York,,,1,,,,,,,,,,,,,,,,,,,,
Dieu,,,,1,,,,,,,,,,,,,,1,1,,,,
"Wilder, capitaine",,,,,1,,,,,,,,,,,,,,,,,,
"Al Jolson, chanteur",,,,,,1,,,,,,,,,,,,,,,1,,
"Maxfield Parrish, peintre",,,,,,,,1,,,,,,,,,,,,,1,,
Une martienne,,,,,,,,1,1,1,,,,,,,,,,,,,
Einstein,,,,,,,,,,1,,,,,,,,,,,,,
Les pélerins,,,,,,,,,,,1,,,,,,,,,,,,
Grand-mère Lustig,,,,,,,,,,,,1,1,1,,1,,,,,,1,1
Grand-père Lustig,,,,,,,,,,,,1,1,1,,1,,,,,,1,1
Jeunes filles,,,,,,,,,,,,,,1,1,,,,,,,1,
Petits garçons,,,,,,,,,,,,,,1,1,,,,,,,1,
Gros messieurs,,,,,,,,,,,,,,1,1,,,,,,,1,
Maire,,,,,,,,,,,,,,1,1,,,,,,,1,
Edward,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1
Mère de Black,,,,,,,,,,,,,,,,1,1,1,,1,1,1,1
Père de Black,,,,,,,,,,,,,,,,1,1,1,,1,1,1,1
Marylin,,,,,,,,,,,,,,,,,,,1,,,,
Les martiens,,,,,,,,,,,,,,,,,,,,1,1,,1
