,Genre
Marins NANKAI,Contre
Steve Martin,Contre
Dr Serizawa,Contre
Shiguyu Iyoto,Contre
Policier,Contre
Cmdt Iwanaga,Contre
Les familles des disparus,Contre
Employes NANKAI,Contre
Président NANKAI,Contre
Rescapés,Contre
Sauveteurs marins,Contre
Journalistes,Contre
Georges Lawrence,Neutre
Emiko,Contre
Ogata,Contre
Prof. YAMANE,Pour
Gouvernement,Contre
Population de Toko,Contre
Tchinkitchi,Contre
Mazaji,Contre
Godzilla,Neutre
Prètre de Toko,Neutre
Maire de Toko,Contre
Témoins de Toko,Contre
Eleves du prof. YAMANE,Neutre
La marine,Contre
Journaliste Hagiwara,Contre
cmdt Yamata,Contre
L'armee,Contre
Les ingenieurs,Contre
Les medecins,Contre
Population de Tokyo,Contre
Folklore religieux,Neutre
