,Zone
Dr Valentin Pilman - Prix Nobel,Non
Redrick Shouhart (Red - Rouquin),Oui
Kirill Panov – Docteur Panov - ami de Redrick,Oui
Tender - collègue de Redrick,Oui
Richard Nounane (Dick),Oui
Gouta - femme de Redrick,Non
Rauque (Hew),Non
Phil le Décharné,Non
Ouistiti – Fille de Redrick et Gouta,Non
Charognard (Barbridge),Oui
Cirage,Oui
Iskhak Sac d'Os,Oui
Ernest,Non
Aloïs Makno,Non
Arthur Barbridge,Oui
Lemkhen - patron de Nounane,Non
Stephan Norman - le Binoclard,Oui
Austin,Oui
Capitaine Willy Hertzog,Non
Mollusque,Oui
Freluquet,Oui
Caniche,Oui
Dina Barbridge,Oui
Capitaine QuaterBlood,Non
Le Boucher (James Cutterfield),Non
Satan (Diable),Non défini
Dieu,Non défini
Loir (Dickson),Non
Creon Le Maltais,Oui
La secrétaire de nounane,Non
Baylis,Non
Jeune Homme basané secrétaire de Lemkhen,Non
Carter le veinard,Oui
Cactus (Jonathan Miles),Oui
Ben le gros nez (Ben Galevi le Nasillard),Oui
Nain Tsmyg,Oui
Le vieux Benny,Oui
Madame (Bar Métropole),Non
Katioucha Gros Os (gérant du métropole – Raphaël),Non
Rajba,Oui
Zapfa le Poussin,Oui
Newton,Non
Vonnegut,Non
Rosalia (femme d'Ernest – gérante du Bortch),Non
Frankenstein,Non
Madame Shelley,Non
Laborantin de Boyd,Non
Professeur Boyd,Non
Femme du docteur Pillman,Non
Pere de Red le rouquin,Non
Le Vieux Harris,Non
