,
Soldats,
Le Docteur,Exterieur
Time Lord,Exterieur
Daleks,Kaled
Sarah,Exterieur
Harry,Exterieur
Soldat mort,
Observateur,
Soldats morts,
Homme derrière porte,Kaled
Soldats Thal,Thal
Soldats Kaled,Kaled
les Thals,Thal
General Ravon,Kaled
Mutos,Exterieur
Sevrin (Muto),Exterieur
Les Kaleds,Kaled
Nyder,Kaled
Gardes Kaled 1,Kaled
Patrouille de surface,Kaled
Davros,Kaled
Unite Speciale Kaled,Kaled
Gharman (scientifique Kaled),Kaled
Tane,Kaled
Ronson (scientifique Kaled),Kaled
Patrouille Thal,Thal
Elite Scientifiques Kaled,Kaled
Gardes Thal,Thal
Prisonnier Kaled,Kaled
Gouvernement Kaled,Kaled
Animaux mutés,Exterieur
Mogran (dirigeant Kaled),Kaled
Allies de Davros,Kaled
Gouvernement Thal,Thal
Bettan (soldat Thal),Thal
Kavell (scientifique Kaled),Kaled
Rebelles Thal,Thal
Elite Militaire Kaled,Kaled
Gardes Kaled 2,Kaled
Soldat Thal,Thal
Groupe de rebelles Kaled,Kaled
Fideles a Davros,Kaled
