,STP
Kahlee Sanders,Science
Paul Grayson,Technique
David Anderson,Technique
Gillian,Technique
Cerberus,Politique
Hendel,Technique
Homme Trouble,Politique
Saren Arterius,Technique
Kai Leng,Technique
Moissoneurs,Autre
Aria T'loak,Politique
Jon Grissom,Technique
Lemm,Technique
Pel,Technique
Skarr,Technique
Edan Had'dah,Politique
Anita Goyle,Politique
Jiro Toshiwa,Science
Shu Qian,Science
Golo,Technique
Nick,Technique
Sanak,Technique
Conseil de la citadelle,Politique
Alliance,Politique
Liselle,Technique
Capitain Ysin'Mal Vas Idenna,Politique
Jill Dah,Technique
Ahmed O'Reilly,Technique
Dan Shay,Technique
Récolteurs,Autre
Indigo Lee,Technique
Orinia: Ambassadrice Turienne ,Politique
Geths,Autre
Gang des Griffes Pourpres,Politique
Prothéens,Autre
Jella,Technique
Seeto,Technique
Dinara,Technique
Shella,Technique
Darrin,Technique
Jens,Technique
3 équipiers Kai Leng,Technique
Dr Nuri,Science
Orgun,Technique
Belliard,Technique
Groto Ib-ba,Technique
Isli,Technique
Keo,Technique
Jorgen,Technique
2 gardes turiens de la sécurité première ,Technique
Cynthia,Autre
Sheprard,Autre
2 soldats turiens,Technique
Scientifiques turiens,Science
Feda,Technique
Erin,Technique
Ellen Jimenez ,Technique
Scientifiques de Cerberus,Science
Sato Davaria,Technique
Eisenhorn,Technique
Humain des soleils bleus,Technique
Yando,Technique
2eme escouade,Technique
Jeune Faussaire,Technique
Seshaun,Technique
Ellin,Technique
Lige,Technique
Ugho,Technique
Din Korlak : ambassadeur volus ,Politique
Guide turien,Technique
Servantes asaris d'Aria,Technique
Galarienne,Technique
Shela,Autre
Ambassadeur Udina,Politique
Calyn : ambassadeur elcor,Politique
6 soldats turiens,Technique
Humain lambda bar,Technique
Maawda,Technique
Helenda,Technique
Claude Menneau,Politique
Anwa,Autre
Cerise,Politique
Officier turien,Politique
Hotesses asaris de l'au delà,Technique
2 gardes de Cerberus,Technique
2 soldats asaris d'Aria,Technique
Aurora,Politique
Terra Firma ,Politique
Olthar,Autre
Coneil Quarien,Politique
6+ techniciens galariens,Technique
Videur krogan,Technique
Gardes krogans de l'au delà,Technique
Garde turien,Technique
Ib Harman,Politique
Charles Saraccino,Autre
SSC,Politique
3 Scientifique ascension,Science
Soldat krogan d'Aria,Technique
2 soldats butariens d'Aria,Technique
Inez Simmons,Autre
Dr Sanchez,Autre
Jacob Berg,Autre
Commercant Elcor,Autre
Soleils Bleus ,Autre
Berserkers,Autre
Mere de Kahlee,Autre
2 krogans,Technique
Homme en blouse blanche,Science
Receptioniste turien,Technique
2 gardes du corps turiens,Technique
Exécuteur Pallin,Politique
Sovereign,Autre
Ledius,Technique
Erastian,Technique
Keedo,Technique
Jackson,Technique
M'Gabi,Technique
Giller,Technique
Malkin,Technique
