,Genre
Hari Seldon,Fondation
Bel Riose (Le general),Ennemi
Ducem Barr (Le vieux de Siwenna) (savant),Ennemi
Onum Barr (Le pere de Ducem Barr),Ennemi
Vice roi siwenna,Ennemi
L empereur (Cleon II),Ennemi
Hober Mallow,Fondation
Sennet Forell (le fils de Hober Mallow),Fondation
Salvor Hardin,Fondation
Brodrig (fidele de l empereur),Ennemi
Lathan Devers (marchand),Fondation
Mori Luk (sergent),Ennemi
Ingenieur Orre,Ennemi
Le Mulet,Ennemi
Bayta,Fondation
Toran,Fondation
Fran(pere de Toran,Fondation
Randu (Oncle de Toran),Fondation
Han Pritcher (capitaine),Fondation
Indbur III (maire),Fondation
Magnifico (Clown du Mulet),Ennemi
Porfirat Hart,Fondation
Vice roi Kalgan,Ennemi
Ebling Mis,Fondation
Secrétaire de Indbur 3,Fondation
Pilote d oasis,Fondation
Jeune Radolienne,Fondation
L indigene(Radolien Kiev),Fondation
Individu reunion radole,Fondation
Iwo Lyon,Fondation
Mangin,Fondation
Ovall Gri,Fondation
Fonctionnaire de Indbur,Fondation
Juddie,Fondation
Hella,Fondation
Nouvelle de l usine (Oasis),Fondation
Chef de bureau,Fondation
Ombre palais du maire,Fondation
Orrum Palley(Le renard),Fondation
Levvaw,Fondation
Willig,Fondation
Garre,Fondation
Noth,Fondation
Chambellan de Indbur,Fondation
General Sammin,Fondation
Presentateur,Ennemi
Capitaine Inspecteur (Vaisseau Filien),Ennemi
Chef mecanicien (Vaisseau Filien),Ennemi
Enseigne (Vaisseau Filien),Ennemi
Dagobert IX,Ennemi
Fils de Dagobert IX,Ennemi
Jord Commason,Ennemi
Inchey,Ennemi
Rebelle Gilmer,Ennemi
Lee Senter,Ennemi
